T,Bx,Bz,Oc,j,z,pp,cc,joint,C,Acut,dA,strain_GHz,strain_azimuth_deg
70.0,0.23226114680059184,0.005,0.1,3,0.2683517512637327,0.16776305670287803,0.30689774832888334,0.22690549652858577,0.013007955452562272,0.009493485190055774,0.00012349083244180518,0.5,0
70.0,0.23226114680059184,0.005,0.1,3,0.2675702618300459,0.16838350880253428,0.3054387244401201,0.22678369461978037,0.012993120234805457,0.009505832211679263,0.00012351042085823535,0.5,15
70.0,0.23226114680059184,0.005,0.1,3,0.26522482337981174,0.17025331794924128,0.30116264848626323,0.22643749721980094,0.012949933794241395,0.009542047260487732,0.0001235688802848386,0.5,30
70.0,0.23226114680059184,0.005,0.1,3,0.261316565540049,0.17339561110992693,0.29436650874730513,0.2259244578936389,0.012882162547530844,0.00959970991167273,0.00012366502349131107,0.5,45
70.0,0.23226114680059184,0.005,0.1,3,0.2558618392519378,0.17784059238874445,0.28552560756433054,0.22533983933471843,0.012795495122922123,0.009674972735594771,0.0001237960664527074,0.5,60
70.0,0.23226114680059184,0.005,0.1,3,0.2489173092986861,0.1836095172511316,0.2752649734448451,0.2248138538666013,0.012696812407865646,0.009762822693138143,0.00012395672830602868,0.5,75
70.0,0.23226114680059184,0.005,0.1,3,0.2406212089533015,0.19068394481474377,0.26432047171813206,0.22450316310134102,0.012593418126335356,0.009857412275937958,0.00012413851443455773,0.5,90
70.0,0.23226114680059184,0.005,0.1,3,0.2786865317672991,0.1542323927618635,0.3301097809320509,0.22564046930292625,0.013162575436672654,0.00931267167842287,0.00012257874348420595,0.75,0
70.0,0.23226114680059184,0.005,0.1,3,0.27779680585399597,0.15494125839354908,0.3279135459464126,0.2254048301461795,0.013139279529336651,0.00933104439155346,0.00012260320056126995,0.75,15
70.0,0.23226114680059184,0.005,0.1,3,0.27510842545591885,0.15709141682190975,0.3214732247307097,0.22472357318104255,0.013071736438980195,0.009384922803256559,0.00012267723738434492,0.75,30
70.0,0.23226114680059184,0.005,0.1,3,0.270566124720169,0.16075331794243167,0.31122536717690447,0.22367501067740886,0.01296656423127408,0.009470679228995417,0.00012280217053656236,0.75,45
70.0,0.23226114680059184,0.005,0.1,3,0.2640874885830243,0.16604297966846437,0.2978697417611416,0.22239419838452615,0.012833530809750311,0.009582563323954086,0.00012297812165434812,0.75,60
70.0,0.23226114680059184,0.005,0.1,3,0.25558452393293274,0.1731171641164961,0.2823304921658255,0.2210797461265105,0.012684042448193997,0.009713114389590279,0.00012320155522172702,0.75,75
70.0,0.23226114680059184,0.005,0.1,3,0.2450094333568536,0.18215841190938878,0.2657068279684072,0.22000166775778365,0.012529635644740158,0.009853678558658693,0.00012346300210038178,0.75,90
70.0,0.23226114680059184,0.005,0.1,3,0.2836785726704189,0.14178154645034505,0.3542216837978135,0.22410287395546521,0.013301580656399947,0.009135535664758295,0.00012151706448420077,1.0,0
70.0,0.23226114680059184,0.005,0.1,3,0.2827962920259504,0.14251260452491615,0.3512963735873602,0.2237502204693722,0.013269063981394618,0.009159854300704276,0.0001215426927762977,1.0,15
70.0,0.23226114680059184,0.005,0.1,3,0.28011807343581085,0.14474006207471457,0.3427144414484999,0.22272069847492174,0.013175167393082266,0.009231148331916782,0.00012162192450337574,1.0,30
70.0,0.23226114680059184,0.005,0.1,3,0.27554868032310803,0.1485684708531446,0.3290461739221658,0.22110153074932345,0.013030101712200724,0.009344560301032697,0.00012176057117824907,1.0,45
70.0,0.23226114680059184,0.005,0.1,3,0.26892766377568555,0.15417779487908034,0.3112043201909243,0.21904519132790834,0.012848638983070546,0.009492408655803702,0.00012196453189819572,1.0,60
70.0,0.23226114680059184,0.005,0.1,3,0.2600344165878077,0.16183205485421118,0.29039222267459697,0.21678277170732846,0.012647504391671342,0.009664764703176967,0.00012223515402790086,1.0,75
70.0,0.23226114680059184,0.005,0.1,3,0.24861365631924193,0.17189079782742517,0.2680411439304239,0.21464809824635359,0.012442890364390525,0.00985017562005846,0.00012256465531037988,1.0,90
70.0,0.23226114680059184,0.005,0.1,3,0.2823819659521054,0.13032793368406956,0.3791272318963275,0.222285556742694,0.013424771896729498,0.008962953883996767,0.0001203256114135623,1.25,0
70.0,0.23226114680059184,0.005,0.1,3,0.2815829324451945,0.13104378764073119,0.37548504362884183,0.22182196085953398,0.01338226059703247,0.008993145384004125,0.00012034861511574284,1.25,15
70.0,0.23226114680059184,0.005,0.1,3,0.2791508144121034,0.13323303179442647,0.3647974250992784,0.2204610326946172,0.013259989818726649,0.00908162728591628,0.00012042228534872,1.25,30
70.0,0.23226114680059184,0.005,0.1,3,0.2749758237043992,0.13702384135072954,0.3477660826988054,0.21829394069209937,0.013072538419135728,0.009222288559926283,0.00012055872151199224,1.25,45
70.0,0.23226114680059184,0.005,0.1,3,0.26886075907019114,0.14264064312381083,0.3255115425219736,0.21547894507250126,0.01284062277304544,0.009405482889521519,0.00012077225778267924,1.25,60
70.0,0.23226114680059184,0.005,0.1,3,0.2605058602224141,0.15042210473777476,0.2995051573843173,0.21225502621508752,0.012587062541898317,0.009618778738351902,0.00012107216955631718,1.25,75
70.0,0.23226114680059184,0.005,0.1,3,0.24950320708294277,0.16085178474946268,0.271486448110725,0.20897148062331977,0.01233310525480715,0.009847899829413245,0.00012145518513495093,1.25,90
70.0,0.23226114680059184,0.005,0.1,3,0.273951897963907,0.11979434223287692,0.40469048215644315,0.2201809031633691,0.013531964412766953,0.008795679603133846,0.00011902282337570735,1.5,0
70.0,0.23226114680059184,0.005,0.1,3,0.27328037915974995,0.12047402798963508,0.4003458554533467,0.21961620567576723,0.013478696953171995,0.008831672623679948,0.00011903943888420744,1.5,15
70.0,0.23226114680059184,0.005,0.1,3,0.2712353450097393,0.12256052136044304,0.38759583840139983,0.2179540043945364,0.013326079760119937,0.008937121149790285,0.00011909678926796014,1.5,30
70.0,0.23226114680059184,0.005,0.1,3,0.2677176351659992,0.12620058379942753,0.36727348018801,0.2152907977916714,0.013093850090562884,0.009104640424308311,0.00011921479684437187,1.5,45
70.0,0.23226114680059184,0.005,0.1,3,0.2625372890234722,0.1316540425656429,0.3407067837456703,0.21179099463776963,0.012809591573180613,0.009322590261350443,0.00011941857365201028,1.5,60
70.0,0.23226114680059184,0.005,0.1,3,0.25538065699005547,0.1393186137459484,0.3096333830878753,0.20769615716539142,0.012502933682245379,0.009576003446279029,0.0001197281360297799,1.5,75
70.0,0.23226114680059184,0.005,0.1,3,0.2457749250192501,0.14977167278148032,0.27609359656564875,0.2033494524258484,0.012200508243104539,0.00984774883057851,0.0001201475407834962,1.5,90
