T_K,Bx_T,Bz_T,Oc_GHz,Cmax,center_MHz,fwhm_MHz,Acut_peak,Acut_at_peak,Afull_at_peak,dA_at_peak,delta_aic,verdict,best_model,klass,reason,half_MHz,attempts,at_edge,window_ok,status,seconds
20.0,0.0,0.005,0.1,-0.7760861200962301,0.11562500000000012,0.12187500000000014,0.001609514555427736,0.001609164389559175,0.002858014537249174,-0.0012488501476899988,-4.296589483923299,inconclusive,Fano,absorption,sign reversed: control increases absorption,0.2500000000000002,2,False,True,ok,4.9144415855407715
20.0,0.05,0.005,0.1,-17.695459478479528,0.3125000000000003,1.3750000000000004,0.001378752507377546,0.001373887282756441,0.025685454022771385,-0.024311566740014945,-2.5988470554215155,inconclusive,Fano,absorption,sign reversed: control increases absorption,5.0,1,False,True,ok,2.108067274093628
20.0,0.1,0.005,0.1,-39.698953095567425,0.7499999999999998,0.9374999999999999,0.0030992827887317935,0.003096000242258979,0.12600396864356359,-0.12290796840130461,-20.160938411560892,robust ATS,Fano,absorption,sign reversed: control increases absorption,5.0,1,False,True,ok,2.049692153930664
20.0,0.15000000000000002,0.005,0.1,-5.383335242464523,4.249999999999999,2.3750000000000004,0.0734140633622218,0.07175279501052069,0.45802214513598927,-0.3862693501254686,-2.3730669028547027,inconclusive,Fano,absorption,sign reversed: control increases absorption,5.0,1,False,True,ok,2.981236219406128
20.0,0.2,0.005,0.1,-1.6728287002662736,-38.25000000000001,117.0,2.3952978842667303,0.8322423387034946,2.2244412084634253,-1.3921988697599308,-351.04098994223773,robust ATS,ATS,absorption,sign reversed: control increases absorption,180.0,3,False,True,ok,6.671474933624268
20.0,0.23226114680059184,0.005,0.1,-1.5283330939901922,-36.00000000000001,112.5,2.0373335110666724,0.7648189913759161,1.9337171668079283,-1.168898175432012,-338.11593204247015,robust ATS,ATS,absorption,sign reversed: control increases absorption,180.0,3,False,True,ok,6.119495868682861
20.0,0.25,0.005,0.1,-1.4536099518846703,-36.00000000000001,112.5,1.8792885844990768,0.7054843406495956,1.7309833991166428,-1.0254990584670471,-94.2949375623366,robust ATS,ATS,absorption,sign reversed: control increases absorption,180.0,3,False,True,ok,5.58763861656189
20.0,0.30000000000000004,0.005,0.1,-1.223944839014855,-33.75,107.99999999999999,1.5369868913585596,0.6241848906652132,1.3881527661859525,-0.7639678755207393,-304.44427270241226,robust ATS,ATS,absorption,sign reversed: control increases absorption,180.0,3,False,True,ok,5.887612342834473
20.0,0.35000000000000003,0.005,0.1,-1.0146439059012324,-31.5,103.49999999999999,1.2905377945795797,0.5675361272365202,1.143383200115842,-0.5758470728793217,-277.15379607663897,robust ATS,ATS,absorption,sign reversed: control increases absorption,180.0,3,False,True,ok,5.61968469619751
20.0,0.4,0.005,0.1,0.9987922628269649,0.0,90.0,1.1013522293242999,1.1013522293242999,0.0013301440279601482,1.1000220852963398,-249.75637091217095,robust ATS,ATS,ATS,robust ATS lineshape (dAIC=-249.8),180.0,3,False,True,ok,5.583744049072266
20.0,0.45,0.005,0.1,0.998514107560722,0.0,76.49999999999999,0.9507610015769022,0.9507610015769022,0.0014127285838035177,0.9493482729930988,-223.41289751921897,robust ATS,ATS,ATS,robust ATS lineshape (dAIC=-223.4),180.0,3,False,True,ok,5.7355170249938965
20.0,0.5,0.005,0.1,0.9981823530374772,0.0,60.75,0.8282905479625031,0.8282905479625031,0.0015055397985904416,0.8267850081639126,-198.8255648681319,robust ATS,ATS,ATS,robust ATS lineshape (dAIC=-198.8),180.0,3,False,True,ok,5.5302650928497314
25.0,0.0,0.005,0.1,-0.04182304520339471,0.0,nan,7.962940158302578,0.003932988051772306,0.004097477588845991,-0.00016448953707368444,12.802166180094673,robust EIT,Fano,unresolved,"feature not contained in the settled window (edge=False, fwhm=nan MHz)",4000.0,5,False,False,ok,9.75514554977417
25.0,0.05,0.005,0.1,-16.28442889183812,0.2999999999999995,0.5249999999999998,0.0034262823291874617,0.003421044781024737,0.05913080525341598,-0.05570976047239124,-10.759587239682787,robust ATS,Fano,absorption,sign reversed: control increases absorption,1.9999999999999984,2,False,True,ok,3.7546215057373047
25.0,0.1,0.005,0.1,-46.54670970281406,0.7125000000000005,0.43125000000000024,0.005401108828957419,0.005388856534579885,0.25622239727978235,-0.2508335407452025,-11.922214381790411,robust ATS,Fano,absorption,sign reversed: control increases absorption,1.5000000000000013,2,False,True,ok,3.9109060764312744
25.0,0.15000000000000002,0.005,0.1,-8.152677589909025,3.3750000000000004,2.5624999999999996,0.06539037361588951,0.06365107105108471,0.5825777315829701,-0.5189266605318854,-3.4041972526483164,inconclusive,Fano,absorption,sign reversed: control increases absorption,5.0,1,False,True,ok,2.2642812728881836
25.0,0.2,0.005,0.1,0.9979031587586034,0.0,25.5,0.8932990439773933,0.8932990439773933,0.0018731062763119532,0.8914259377010814,698.218978637881,robust EIT,EIT,transparency,robust EIT lineshape (dAIC=698.2),30.0,2,False,True,ok,3.678805112838745
25.0,0.23226114680059184,0.005,0.1,0.9978039781898607,0.0,23.625,0.7621788203158244,0.7621788203158244,0.0016737613126398892,0.7605050590031845,685.3544172852651,robust EIT,EIT,transparency,robust EIT lineshape (dAIC=685.4),30.0,2,False,True,ok,3.5745625495910645
25.0,0.25,0.005,0.1,0.9977031886493992,0.0,22.500000000000004,0.7041592106034001,0.7041592106034001,0.0016173208675440054,0.7025418897358562,690.7584782529151,robust EIT,EIT,transparency,robust EIT lineshape (dAIC=690.8),30.0,2,False,True,ok,3.6085281372070312
25.0,0.30000000000000004,0.005,0.1,0.9973035847809685,0.0,19.125,0.5780733076708786,0.5780733076708786,0.0015587256645196665,0.576514582006359,738.0071927930677,robust EIT,EIT,transparency,robust EIT lineshape (dAIC=738.0),30.0,2,False,True,ok,3.6158556938171387
25.0,0.35000000000000003,0.005,0.1,0.9967732732548434,-0.3749999999999969,16.124999999999996,0.4868769804212905,0.4868645526811588,0.0015709788734049796,0.48529357380775384,795.3558805702947,robust EIT,EIT,transparency,robust EIT lineshape (dAIC=795.4),30.0,2,False,True,ok,3.6032676696777344
25.0,0.4,0.005,0.1,0.9960477610239207,-0.3749999999999969,13.124999999999998,0.41658225158431134,0.41657161766579737,0.0016463905836671625,0.4149252270821302,842.71303858379,robust EIT,EIT,transparency,robust EIT lineshape (dAIC=842.7),30.0,2,False,True,ok,3.564241409301758
25.0,0.45,0.005,0.1,0.9951046514584355,0.0,10.875000000000004,0.3603849092557508,0.3603849092557508,0.001764209739926975,0.3586206995158238,875.6744520348919,robust EIT,EIT,transparency,robust EIT lineshape (dAIC=875.7),30.0,2,False,True,ok,3.6225054264068604
25.0,0.5,0.005,0.1,0.9940227641802313,0.0,8.625,0.31450267594645515,0.31450267594645515,0.0018798566600802967,0.31262281928637486,895.5802178435205,robust EIT,EIT,transparency,robust EIT lineshape (dAIC=895.6),30.0,2,False,True,ok,3.6040337085723877
30.0,0.0,0.005,0.1,-0.012526207113878607,0.0,0.37500000000000033,0.007791949950905319,0.007653829969998071,0.007749703429416678,-9.587345941860712e-05,-2.1165359986900967,inconclusive,Fano,absorption,sign reversed: control increases absorption,30.0,2,False,True,ok,4.2024452686309814
30.0,0.05,0.005,0.1,-12.676757512103011,0.30000000000000016,0.2875000000000002,0.007834913603004734,0.007828165573042136,0.1070639223070902,-0.09923575673404807,-8.143231256438526,robust ATS,Fano,absorption,sign reversed: control increases absorption,1.0000000000000009,2,False,True,ok,3.677938461303711
30.0,0.1,0.005,0.1,-26.012333499429417,0.7187500000000004,0.3593750000000002,0.011761235305736436,0.011735862838303022,0.31701304089180155,-0.3052771780534985,-12.99360250830955,robust ATS,Fano,absorption,sign reversed: control increases absorption,1.2500000000000009,2,False,True,ok,3.8996422290802
30.0,0.15000000000000002,0.005,0.1,-3.3728665690636768,3.3125000000000004,2.7499999999999996,0.09954783551924185,0.09643977269287565,0.421718257936776,-0.32527848524390035,-2.040192448246046,inconclusive,Fano,absorption,sign reversed: control increases absorption,5.0,1,False,True,ok,2.2158069610595703
30.0,0.2,0.005,0.1,0.9923819338848824,0.0,12.375000000000004,0.37514468210933777,0.37514468210933777,0.0028578769910437393,0.37228680511829404,1042.4619601495374,robust EIT,EIT,transparency,robust EIT lineshape (dAIC=1042.5),30.0,2,False,True,ok,3.7220911979675293
30.0,0.23226114680059184,0.005,0.1,0.9922171859524048,0.0,11.250000000000004,0.32024423860396445,0.32024423860396445,0.0024924013588683578,0.3177518372450961,955.8985574873362,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=955.9),30.0,2,False,True,ok,3.68904447555542
30.0,0.25,0.005,0.1,0.9919309826114525,0.0,10.875000000000004,0.2960013478827899,0.2960013478827899,0.0023884400230997317,0.2936129078596902,919.8818052728841,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=919.9),30.0,2,False,True,ok,3.587831974029541
30.0,0.30000000000000004,0.005,0.1,0.9906906349827158,0.0,8.625,0.24327557833916968,0.24327557833916968,0.0022647411585502305,0.24101083718061944,860.8000080532864,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=860.8),30.0,2,False,True,ok,3.6659090518951416
30.0,0.35000000000000003,0.005,0.1,0.9890543564339153,-0.3749999999999969,7.1250000000000036,0.205091748370409,0.2050908481831237,0.002244851322878476,0.20284599686024524,831.730809440891,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=831.7),30.0,2,False,True,ok,3.7510719299316406
30.0,0.4,0.005,0.1,0.9866904556467772,-0.3749999999999969,5.625000000000002,0.17562601669067748,0.17562524285210449,0.0023374919592856116,0.17328775089281886,812.1063939833117,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=812.1),30.0,2,False,True,ok,3.622528553009033
30.0,0.45,0.005,0.1,0.9887053498395605,-0.18750000000000017,4.875,0.15203915844894036,0.15203899342332866,0.001717227241461873,0.1503217661818668,117.63265543073067,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=117.6),5.0,1,False,True,ok,1.8445677757263184
30.0,0.5,0.005,0.1,0.9869287393823564,-0.18750000000000017,4.0,0.1327584635400192,0.13275831867981883,0.0017353185826241037,0.13102300009719473,187.1880906706491,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=187.2),5.0,1,False,True,ok,1.8884563446044922
35.0,0.0,0.005,0.1,-0.06337357222917711,0.1250000000000001,0.1093750000000001,0.014422764571512241,0.014419585666887258,0.015333406320662544,-0.0009138206537752866,-3.290863007573762,inconclusive,Fano,absorption,sign reversed: control increases absorption,0.2500000000000002,2,False,True,ok,4.094426870346069
35.0,0.05,0.005,0.1,-7.151744812327046,0.30000000000000016,0.2343750000000001,0.01616190936412346,0.016150823286352013,0.13165738993933088,-0.11550656665297887,-6.53308782778754,robust ATS,Fano,absorption,sign reversed: control increases absorption,0.7500000000000007,2,False,True,ok,4.7934935092926025
35.0,0.1,0.005,0.1,-8.976325631910917,0.7218750000000005,0.4812500000000004,0.023741885206713383,0.02367959627563884,0.23623536327795805,-0.2125557670023192,-3.335716251995848,inconclusive,Fano,absorption,sign reversed: control increases absorption,1.7500000000000013,2,False,True,ok,3.9675354957580566
35.0,0.15000000000000002,0.005,0.1,0.9392839612307521,0.0,11.999999999999996,0.13311108114243905,0.12342952828082372,0.007494152024368466,0.11593537625645525,47.259933501803744,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=47.3),30.0,2,False,True,ok,3.7580533027648926
35.0,0.2,0.005,0.1,0.9734920527669291,0.0,6.000000000000002,0.1783163968130269,0.17831594000077708,0.0047267895283560285,0.17358915047242104,1015.2308526928773,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=1015.2),30.0,2,False,True,ok,3.6077277660369873
35.0,0.23226114680059184,0.005,0.1,0.975729231568937,-0.1250000000000001,5.625,0.1519417441968696,0.15194173854615123,0.003687742751266752,0.14825399579488446,133.93219167146742,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=133.9),5.0,1,False,True,ok,1.8065805435180664
35.0,0.25,0.005,0.1,0.9757251040101393,-0.18750000000000017,5.3125,0.14040612388518436,0.14040612388518436,0.0034083440536523354,0.13699777983153202,132.64146681597163,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=132.6),5.0,1,False,True,ok,1.7770307064056396
35.0,0.30000000000000004,0.005,0.1,0.9751789362370985,-0.18750000000000017,4.375,0.11535683111901031,0.11535682768205806,0.0028632791753823985,0.11249354850667566,154.48057661313055,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=154.5),5.0,1,False,True,ok,1.8736820220947266
35.0,0.35000000000000003,0.005,0.1,0.9736531096872222,-0.18750000000000017,3.5624999999999996,0.09723561323539082,0.09723560808802313,0.002561855900791399,0.09467375218723173,194.731713606344,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=194.7),5.0,1,False,True,ok,1.8462190628051758
35.0,0.4,0.005,0.1,0.9714032307355777,-0.18750000000000017,2.8750000000000004,0.08326145031604987,0.08326144370452943,0.0023810082942411163,0.0808804354102883,238.55010775238782,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=238.6),5.0,1,False,True,ok,1.8974511623382568
35.0,0.45,0.005,0.1,0.968491360147931,-0.18750000000000017,2.375,0.07207986154529744,0.07207985451738255,0.0022711381765777297,0.06980871634080482,277.1571149908376,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=277.2),5.0,1,False,True,ok,2.0120198726654053
35.0,0.5,0.005,0.1,0.9648238601112737,-0.18750000000000017,1.875,0.0629414773411884,0.06294147064094263,0.0022140379760679564,0.060727432664874674,307.0386241353418,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=307.0),5.0,1,False,True,ok,1.9220175743103027
40.0,0.0,0.005,0.1,-0.020131510909285485,0.13750000000000015,0.17500000000000013,0.027036560568861556,0.027026762521319754,0.02757085208586037,-0.0005440895645406167,-0.21287440022433657,inconclusive,Fano,absorption,sign reversed: control increases absorption,0.5000000000000004,2,False,True,ok,5.069268703460693
40.0,0.05,0.005,0.1,-2.893153811488672,0.31249999999999917,0.28749999999999915,0.029800499328470963,0.029776148184448736,0.1159231247957381,-0.08614697661128937,0.4602985418910066,inconclusive,Fano,absorption,sign reversed: control increases absorption,0.9999999999999973,2,False,True,ok,5.3319337368011475
40.0,0.1,0.005,0.1,-2.6159954447273757,0.7499999999999998,0.8125000000000007,0.04087260168618689,0.04065543271329279,0.14700985949468706,-0.10635442678139427,11.17591530384675,robust EIT,Fano,absorption,sign reversed: control increases absorption,5.0,1,False,True,ok,2.073474884033203
40.0,0.15000000000000002,0.005,0.1,0.8969826291252557,-0.06250000000000006,3.375,0.10548674132342174,0.10492857007110926,0.010809465418372055,0.0941191046527372,22.19685996754413,robust EIT,Fano,transparency,robust EIT lineshape (dAIC=22.2),5.0,1,False,True,ok,1.9981322288513184
