Bx_T,phonon_model,threshold,n_valid,n_in_model,q16,median,q84
0.0,full_happacher,T_1pct,100,114,23.680533052839937,26.5905635131247,29.716235797175834
0.0,full_happacher,T_0.1pct,110,114,25.28588881548024,29.68336366273582,36.58902960768107
0.0,full_happacher,T_0.01pct,114,114,25.571653429026263,30.612466632617604,41.133755798177255
0.0,full_happacher,T_sign,114,114,25.602205578893944,30.782751937755982,43.83509368550225
0.0,conservative_lower_bound,T_1pct,112,127,24.315272187797596,27.30103191649048,29.93431844424674
0.0,conservative_lower_bound,T_0.1pct,120,127,25.698546698443884,30.928427344879367,37.359595612017635
0.0,conservative_lower_bound,T_0.01pct,127,127,25.87166228913582,31.832121489729108,55.76635505279582
0.0,conservative_lower_bound,T_sign,127,127,25.89178530362164,31.886160816343292,62.72200714284149
0.0,saturation,T_1pct,103,116,23.516490067289293,27.71682381997365,29.54321902344138
0.0,saturation,T_0.1pct,107,116,25.13479529173521,31.32085118893936,35.480960152617264
0.0,saturation,T_0.01pct,116,116,25.346370727461462,32.65089251182937,56.54098867203635
0.0,saturation,T_sign,116,116,25.36460662401366,32.79185766882149,61.194933439372974
0.0,naive_T5_extrapolation,T_1pct,123,143,23.413761903381754,27.257852574437365,30.774826871360393
0.0,naive_T5_extrapolation,T_0.1pct,139,143,24.308261090851957,31.175990133445115,40.30767750858513
0.0,naive_T5_extrapolation,T_0.01pct,143,143,24.527612980738542,32.592116272597735,59.37672941311798
0.0,naive_T5_extrapolation,T_sign,143,143,24.54081110965911,32.7845943268699,63.89785526409068
0.05,full_happacher,T_1pct,125,125,22.390678038944976,33.24323507860625,38.93084971940495
0.05,full_happacher,T_0.1pct,125,125,22.428112205744082,33.58882506857443,38.81589309777282
0.05,full_happacher,T_0.01pct,125,125,22.431847237717278,33.57797036372106,38.804577820395856
0.05,full_happacher,T_sign,125,125,22.432262148361445,33.576765961126625,38.803322548221914
0.05,conservative_lower_bound,T_1pct,124,124,21.712845958060864,33.13529045714568,39.24099071937882
0.05,conservative_lower_bound,T_0.1pct,124,124,21.753529681467963,33.06635925322006,39.138617863215984
0.05,conservative_lower_bound,T_0.01pct,124,124,21.75758813236163,33.05953798030607,39.1285240436526
0.05,conservative_lower_bound,T_sign,124,124,21.758038961397293,33.05878085597246,39.12740408698446
0.05,saturation,T_1pct,133,133,22.584446202617848,34.36107246808228,39.60748434718145
0.05,saturation,T_0.1pct,133,133,22.557758400427712,34.236478961504694,39.47689234863324
0.05,saturation,T_0.01pct,133,133,22.56248583783834,34.22424833034244,39.46407591961645
0.05,saturation,T_sign,133,133,22.563011013344916,34.22289187424896,39.46265452614778
0.05,naive_T5_extrapolation,T_1pct,118,118,21.874504824196634,31.690256749699877,38.73605131457988
0.05,naive_T5_extrapolation,T_0.1pct,118,118,21.908441455888727,31.617047429717797,38.58765360437862
0.05,naive_T5_extrapolation,T_0.01pct,118,118,21.911827037185596,31.609809316110884,38.57309334765052
0.05,naive_T5_extrapolation,T_sign,118,118,21.912203123233017,31.609005994958576,38.5714785922393
0.1,full_happacher,T_1pct,140,140,26.113257700023045,29.243149927579303,32.48023807387887
0.1,full_happacher,T_0.1pct,140,140,26.18190269227365,29.38505732468775,32.743787233255745
0.1,full_happacher,T_0.01pct,140,140,26.176952994991925,29.379646225336376,32.735837687658744
0.1,full_happacher,T_sign,140,140,26.176403151422633,29.379045420308877,32.734955140388465
0.1,conservative_lower_bound,T_1pct,126,126,26.76618673211157,30.071323518680074,33.04436966482105
0.1,conservative_lower_bound,T_0.1pct,126,126,26.731301566714304,30.02638444465895,32.96342855799351
0.1,conservative_lower_bound,T_0.01pct,126,126,26.727834601298422,30.022378854216665,32.955399218875634
0.1,conservative_lower_bound,T_sign,126,126,26.72744962270205,30.021934073853657,32.95450778762548
0.1,saturation,T_1pct,122,122,26.426786701674168,29.551102297400497,31.919846625099435
0.1,saturation,T_0.1pct,122,122,26.132611009252095,29.485281728358643,31.854071794229217
0.1,saturation,T_0.01pct,122,122,26.12866047193821,29.478746776279934,31.84753533905962
0.1,saturation,T_sign,122,122,26.128221767819596,29.478021192449138,31.84680952095149
0.1,naive_T5_extrapolation,T_1pct,112,112,26.408340801216024,29.332299956429175,32.744597864821124
0.1,naive_T5_extrapolation,T_0.1pct,112,112,26.087345437226553,29.24392852754664,32.677088894202775
0.1,naive_T5_extrapolation,T_0.01pct,112,112,26.079421612051668,29.23880042491144,32.67038150175664
0.1,naive_T5_extrapolation,T_sign,112,112,26.078540758470986,29.2382310439,32.669636717750336
0.15,full_happacher,T_1pct,121,121,65.60293420758288,69.9163984396086,73.74083234022925
0.15,full_happacher,T_0.1pct,121,121,73.93159692039032,78.97868932475903,83.55340054039267
0.15,full_happacher,T_0.01pct,121,121,82.02187876445171,87.79405637192693,93.28671546147682
0.15,full_happacher,T_sign,121,121,91.73818948478396,98.61718177119758,104.9616502773983
0.15,conservative_lower_bound,T_1pct,109,109,67.07150659469498,71.81457459985451,75.7314801880197
0.15,conservative_lower_bound,T_0.1pct,109,109,75.61878560986035,81.3239065232712,85.81091935326504
0.15,conservative_lower_bound,T_0.01pct,109,109,83.99436509512877,90.55135057301912,95.81764008045285
0.15,conservative_lower_bound,T_sign,109,109,94.10496305800102,101.52752976507394,108.28231885587563
0.15,saturation,T_1pct,131,131,67.46333926523666,70.65441927367594,74.97720356732562
0.15,saturation,T_0.1pct,131,131,76.28183369689208,80.0008277397719,84.95643311095036
0.15,saturation,T_0.01pct,131,131,84.68734657378913,89.07773208933756,94.64115349112807
0.15,saturation,T_sign,131,131,94.70276842755513,99.78967115823193,106.78095143728514
0.15,naive_T5_extrapolation,T_1pct,139,139,65.32004617026817,69.34149580720482,73.82079013898961
0.15,naive_T5_extrapolation,T_0.1pct,139,139,73.42287813884205,77.93200239928794,83.0465937068229
0.15,naive_T5_extrapolation,T_0.01pct,139,139,80.95896554141041,86.03997672011421,91.58731494556005
0.15,naive_T5_extrapolation,T_sign,139,139,89.6317413532017,95.00780444689906,100.91273157421145
0.2,full_happacher,T_1pct,131,131,68.36793442555513,71.3306764047074,75.23875075927484
0.2,full_happacher,T_0.1pct,131,131,77.43229337603647,80.6776868638001,85.23046936974112
0.2,full_happacher,T_0.01pct,131,131,86.14434758726023,89.88563352349856,95.09503795092502
0.2,full_happacher,T_sign,131,131,96.38398548630526,101.16016881612737,107.26816394070165
0.2,conservative_lower_bound,T_1pct,120,120,66.47583222241785,70.83737599537307,75.37353443352853
0.2,conservative_lower_bound,T_0.1pct,120,120,75.17241317328376,80.12706830199335,85.61836121408128
0.2,conservative_lower_bound,T_0.01pct,120,120,83.49670746935475,89.24723333931294,95.63121547831254
0.2,conservative_lower_bound,T_sign,120,120,93.22490825065314,100.46086710540595,107.4689360474141
0.2,saturation,T_1pct,124,124,67.24746547601049,70.66266805320987,74.53295105778757
0.2,saturation,T_0.1pct,124,124,76.13833778958981,80.08194633001565,84.62026378029014
0.2,saturation,T_0.01pct,124,124,84.6975735945719,89.2264616371715,94.396276565924
0.2,saturation,T_sign,124,124,94.51593962797088,99.93574794627469,106.34911076394013
0.2,naive_T5_extrapolation,T_1pct,125,125,66.07320750067645,70.4483839200356,74.79326962670834
0.2,naive_T5_extrapolation,T_0.1pct,125,125,74.43190098707808,79.3397698027066,84.0752016479583
0.2,naive_T5_extrapolation,T_0.01pct,125,125,82.23483642469742,87.44923908685004,92.67610602593143
0.2,naive_T5_extrapolation,T_sign,125,125,90.75813072121458,96.75278315800311,102.46553918156584
0.23226114680059184,full_happacher,T_1pct,131,131,67.0416108059196,70.39080483909541,75.86033642269686
0.23226114680059184,full_happacher,T_0.1pct,131,131,75.98066624814022,79.9582592695254,86.3205435752747
0.23226114680059184,full_happacher,T_0.01pct,131,131,84.56368229002915,89.13448871593594,96.29568058357202
0.23226114680059184,full_happacher,T_sign,131,131,94.9887246371783,100.3196683107506,108.69913093770893
0.23226114680059184,conservative_lower_bound,T_1pct,122,122,67.74765479477836,71.1282311385696,76.77886493593671
0.23226114680059184,conservative_lower_bound,T_0.1pct,122,122,76.8257477280543,80.56905273266209,87.30563330812285
0.23226114680059184,conservative_lower_bound,T_0.01pct,122,122,85.52932312034909,89.85329479854902,97.5771827390286
0.23226114680059184,conservative_lower_bound,T_sign,122,122,95.75791602720479,101.3368474417777,110.79829025358845
0.23226114680059184,saturation,T_1pct,121,121,66.6580470288585,71.23158542324381,75.13036095685753
0.23226114680059184,saturation,T_0.1pct,121,121,75.58277748721191,80.93972700162956,85.19542904446881
0.23226114680059184,saturation,T_0.01pct,121,121,84.0889505818418,90.33258537919072,95.02443023266228
0.23226114680059184,saturation,T_sign,121,121,93.99114821443187,101.4527733753825,108.43810193734168
0.23226114680059184,naive_T5_extrapolation,T_1pct,126,126,67.2786890968556,71.21556334969372,74.90883255302411
0.23226114680059184,naive_T5_extrapolation,T_0.1pct,126,126,75.91358736874479,80.25909832029717,84.54199711478282
0.23226114680059184,naive_T5_extrapolation,T_0.01pct,126,126,83.87016972294107,88.76177056801887,93.41719681349484
0.23226114680059184,naive_T5_extrapolation,T_sign,126,126,92.78800616357954,98.16633068713134,103.33207215950117
0.25,full_happacher,T_1pct,130,130,67.29728141470811,71.33626646618603,76.25442545720932
