Bx_T,threshold,target,baseline_K,n_valid,n_samples,q02_5,q16,median,q84,q97_5,band_68_K,band_95_K
0.0,T_1pct,0.01,nan,438,500,20.576980102869328,23.691644286628005,27.253258872767706,30.112751793870558,33.40073939398279,6.421107507242553,12.823759291113461
0.0,T_0.1pct,0.001,44.71693818003572,476,500,20.87633868653166,25.10850575585827,30.70238145503851,37.78773458891389,53.843506098993856,12.679228833055621,32.967167412462196
0.0,T_0.01pct,0.0001,41.540919509724226,500,500,21.02999101805866,25.351010769111063,31.906839628744073,57.28606504779414,67.15069715400236,31.935054278683076,46.1207061359437
0.0,T_sign,0.0,41.27973475137439,500,500,21.039052376859793,25.373919361799178,31.98359160310593,62.69948779503204,72.48240281824243,37.32556843323286,51.44335044138264
0.05,T_1pct,0.01,37.78003089560298,500,500,20.34162106308747,22.14057492509253,33.21870886408699,39.1935754315994,43.401041464372426,17.05300050650687,23.059420401284957
0.05,T_0.1pct,0.001,37.65783747140216,500,500,20.371511830248714,22.13439385678442,33.08704028688655,39.05197077372315,43.18042393797728,16.917576916938728,22.808912107728567
0.05,T_0.01pct,0.0001,37.64583207023767,500,500,20.376645226829112,22.13821748688476,33.078608873310586,39.03766496760273,43.15892838599868,16.89944748071797,22.782283159169566
0.05,T_sign,0.0,37.64450048140127,500,500,20.377215569292368,22.138642227212067,33.07767327917064,39.03607859220788,43.15654611572326,16.897436364995812,22.77933054643089
0.1,T_1pct,0.01,29.70094429794768,500,500,20.496451584964237,26.388227834123192,29.50763972028838,32.65442505974208,64.23876479509275,6.266197225618889,43.742313210128515
0.1,T_0.1pct,0.001,29.655331110931776,500,500,20.561473374069916,26.354056896503295,29.455149557371364,32.652917715732045,75.07502034734338,6.29886081922875,54.51354697327346
0.1,T_0.01pct,0.0001,29.65080520969281,500,500,20.572853424356353,26.350167017780624,29.449940457318647,32.64591732819946,83.49109812445774,6.2957503104188355,62.91824470010138
0.1,T_sign,0.0,29.650302725211365,500,500,20.57411913348724,26.349735051047865,29.44936211158852,32.645140004027574,93.33681482543658,6.295404952979709,72.76269569194933
0.15,T_1pct,0.01,70.90927219595757,500,500,62.4003827407162,66.11020960822107,70.3222979973076,74.62916232201873,78.305064412632,8.51895271379766,15.904681671915803
0.15,T_0.1pct,0.001,80.21679555857345,500,500,70.06541664056037,74.44849097454443,79.3155952838449,84.47855169395093,88.71257080258225,10.030060719406507,18.647154162021877
0.15,T_0.01pct,0.0001,89.29420427577294,500,500,77.28732048318173,82.40375068395706,87.96132223502121,94.08582790329048,99.18819522038032,11.682077219333422,21.900874737198592
0.15,T_sign,0.0,100.0215969087917,500,500,86.18110806528323,91.90961691071139,98.45481615730031,105.51276702460814,112.0003138440067,13.603150113896746,25.81920577872347
0.2,T_1pct,0.01,71.21406112497291,500,500,63.951883693714244,66.96229306579741,70.89396856378059,75.15318381784684,79.72165344225705,8.190890752049427,15.769769748542807
0.2,T_0.1pct,0.001,80.68039968459384,500,500,72.23045256160843,75.62760900356601,80.22186795561043,84.98672493549662,90.34220794702513,9.359115931930617,18.1117553854167
0.2,T_0.01pct,0.0001,89.86126317646236,500,500,79.91060902469493,83.83028673395528,89.18610038154216,94.77206742361763,101.2351312529681,10.941780689662352,21.324522228273167
0.2,T_sign,0.0,100.7099343694501,500,500,88.51207066794112,93.27595393380136,99.72080743926432,106.37753182826602,114.75883344580065,13.101577894464654,26.24676277785953
0.23226114680059184,T_1pct,0.01,71.31455440980206,500,500,63.101572217071485,67.24773064699312,71.10919437818936,75.68537049013655,81.49334712262277,8.43763984314343,18.39177490555128
0.23226114680059184,T_0.1pct,0.001,80.9623925527777,500,500,71.38142278299883,75.94656583633231,80.50759813476355,85.85689008768568,92.57655269890716,9.910324251353373,21.19512991590834
0.23226114680059184,T_0.01pct,0.0001,90.27853899530373,500,500,79.25488578495504,84.21763517180496,89.46642453744654,95.69606612181853,103.35951947493098,11.478430950013575,24.10463368997594
0.23226114680059184,T_sign,0.0,101.44123823846584,500,500,88.48469910849913,94.20790407552724,100.34000117184524,107.70734232773114,117.89776075003661,13.499438252203902,29.41306164153748
0.25,T_1pct,0.01,71.31586268055187,500,500,63.18754363783456,66.89764954357504,71.23668107807437,76.07716308874001,80.36095760443521,9.179513545164966,17.173413966600656
0.25,T_0.1pct,0.001,81.07641752236042,500,500,71.49513664140025,75.76997522326198,80.9140601560641,86.36864305752633,91.49540665587173,10.598667834264347,20.000270014471482
0.25,T_0.01pct,0.0001,90.47044999183026,500,500,79.03995529747334,84.1532536590006,89.96667786091226,96.59788079562213,102.54718466098927,12.444627136621534,23.507229363515933
0.25,T_sign,0.0,101.80342219909195,500,500,88.07051163249767,94.13214687864931,100.79988673472786,108.8794545110475,117.62220288024152,14.74730763239819,29.551691247743847
0.3,T_1pct,0.01,71.17869719398756,500,500,62.48985377728777,66.46984389945642,70.89374401048204,75.56133821826923,80.7792646509143,9.091494318812806,18.28941087362653
0.3,T_0.1pct,0.001,81.2849823305063,500,500,70.94773491676452,75.48596354942201,80.70905983158283,86.36618054718319,92.16472377344924,10.880216997761181,21.216988856684722
0.3,T_0.01pct,0.0001,90.90178876389766,500,500,78.82628497055579,84.07993873139651,89.97907673064744,96.64065875053747,103.46734643756908,12.560720019140959,24.641061467013287
0.3,T_sign,0.0,102.68639654409937,500,500,88.79040203096753,94.69698528745207,101.60871672535941,108.88996114697157,118.47042369270433,14.192975859519507,29.680021661736802
0.4,T_1pct,0.01,70.56965970820718,500,500,62.10316113700313,66.32012605994753,70.56711805729793,74.51513159246024,79.895892092443,8.19500553251271,17.79273095543988
0.4,T_0.1pct,0.001,81.39435186204264,500,500,71.29616704580127,76.33508659406566,81.04821970557744,85.87617404602756,92.37248797664778,9.5410874519619,21.076320930846506
0.4,T_0.01pct,0.0001,91.44099871543949,500,500,79.4779818481638,85.09103524796322,90.6254525093083,96.39238451159531,104.28350832853376,11.30134926363209,24.805526480369963
