T_K,Bx_T,C,dA,klass,verdict
55.0,0.0015,0.0003535286633828969,2.2960387528248027e-05,transparency,robust EIT
55.0,0.002098,0.0002096243649983245,1.3657974085243274e-05,unresolved,inconclusive
55.0,0.002933,7.071777271292965e-05,4.634784581014628e-06,unresolved,inconclusive
55.0,0.004102,-9.314760175409387e-05,-6.167466539155897e-06,absorption,inconclusive
55.0,0.005737,-0.0003284802444343552,-2.2090103379335257e-05,absorption,inconclusive
55.0,0.008022,-0.0009174164689905413,-6.293879705686345e-05,absorption,inconclusive
55.0,0.011219,0.0031347263465685607,0.00021937184810900956,transparency,robust EIT
55.0,0.015689,0.009152196234304561,0.0006487122776846765,transparency,robust EIT
55.0,0.021939,0.024327014509627407,0.0017243027328908422,transparency,robust EIT
55.0,0.030681,0.05742138864222523,0.004002552710169083,transparency,robust EIT
55.0,0.042905,0.1103529187053021,0.007428109639430247,transparency,robust EIT
55.0,0.06,0.17187057749983434,0.010984764334013145,transparency,robust EIT
55.0,0.09,0.2436969878042071,0.01431344951979538,transparency,robust EIT
55.0,0.13,0.2917866249200452,0.01518019327232021,transparency,robust EIT
55.0,0.18,0.30484720239635216,0.012536603458446934,transparency,robust EIT
55.0,0.25,0.32361362386344855,0.009014539663066885,transparency,robust EIT
55.0,0.35,0.32784967374543234,0.006004834971772642,transparency,robust EIT
55.0,0.5,0.3168938022338698,0.0036087050681201625,transparency,robust EIT
70.0,0.0015,-3.20208957528546e-05,-1.0312251951943852e-06,absorption,inconclusive
70.0,0.002098,-3.222251154645868e-05,-1.0419625552926526e-06,absorption,inconclusive
70.0,0.002933,-3.243869564244326e-05,-1.0569538474100582e-06,absorption,inconclusive
70.0,0.004102,-3.2650323200743174e-05,-1.078325891808174e-06,absorption,inconclusive
70.0,0.005737,-3.2770021431684064e-05,-1.106479741497246e-06,absorption,inconclusive
70.0,0.008022,4.8466590699405866e-05,1.6891514636949156e-06,unresolved,inconclusive
70.0,0.011219,0.00016344388605530393,5.9139703143945566e-06,transparency,robust EIT
70.0,0.015689,0.0004630979942296541,1.7346531159201373e-05,transparency,robust EIT
70.0,0.021939,0.0012014913566886177,4.6041853986648895e-05,transparency,robust EIT
70.0,0.030681,0.0027865158514577162,0.00010747202623459517,transparency,robust EIT
70.0,0.042905,0.00532474000394113,0.00020362143411654932,transparency,robust EIT
70.0,0.06,0.008185533318012991,0.0003067954285915983,transparency,robust EIT
70.0,0.09,0.01101479088597747,0.00039751288212754726,transparency,robust EIT
70.0,0.13,0.012379325711844592,0.0004249507334885827,transparency,robust EIT
70.0,0.18,0.012975610674890455,0.00040912138444676796,transparency,robust EIT
70.0,0.25,0.014050215219264646,0.00036393134307373745,transparency,robust EIT
70.0,0.35,0.014256922453513484,0.0002800997331280572,transparency,robust EIT
70.0,0.5,0.013787992701560272,0.00018733231705757303,transparency,robust EIT
85.0,0.0015,-7.77099992807012e-06,-9.981689378518732e-08,absorption,robust ATS
85.0,0.002098,-7.414110607412458e-06,-9.557233804011189e-08,absorption,robust ATS
85.0,0.002933,-6.939422275878568e-06,-9.005866322998879e-08,absorption,robust EIT
85.0,0.004102,-6.262891062955916e-06,-8.229643877651072e-08,absorption,robust EIT
85.0,0.005737,-5.329885881767097e-06,-7.157698196993967e-08,absorption,robust EIT
85.0,0.008022,-4.055291067210571e-06,-5.638382251024754e-08,absorption,inconclusive
85.0,0.011219,5.1127756304157774e-06,7.458645738533942e-08,unresolved,inconclusive
85.0,0.015689,1.4385824513098015e-05,2.215644483247875e-07,transparency,robust EIT
85.0,0.021939,3.6984241041413206e-05,5.970151032048954e-07,transparency,robust EIT
85.0,0.030681,8.505027982343413e-05,1.4133445018528479e-06,transparency,robust EIT
85.0,0.042905,0.0001612269123302088,2.7130773581143797e-06,transparency,robust EIT
85.0,0.06,0.00024580186644035206,4.149695395867792e-06,transparency,robust EIT
85.0,0.09,0.00032861707341852843,5.526787808927958e-06,transparency,robust EIT
85.0,0.13,0.0003705188443744426,6.175488837991544e-06,transparency,robust EIT
85.0,0.18,0.00039223048851597456,6.422056943754251e-06,transparency,robust EIT
85.0,0.25,0.0004291872672773939,6.697295190172606e-06,transparency,robust EIT
85.0,0.35,0.0004518011699618859,6.495572467889524e-06,transparency,robust EIT
85.0,0.5,0.00045531781756318035,5.710058821039102e-06,transparency,robust EIT
