probe_pol,ctrl_pol,M0_re,M0_im,absM0,theta_deg
x,x,0.0,0.0,0.0,90.0
x,y,1.0,0.0,1.0,0.0
x,sigma+,0.0,-0.7071067811865475,0.7071067811865475,45.00000000000001
x,sigma-,0.0,0.7071067811865475,0.7071067811865475,45.00000000000001
y,x,-1.0,0.0,1.0,0.0
y,y,0.0,0.0,0.0,90.0
y,sigma+,-0.7071067811865475,0.0,0.7071067811865475,45.00000000000001
y,sigma-,-0.7071067811865475,0.0,0.7071067811865475,45.00000000000001
sigma+,x,0.0,-0.7071067811865475,0.7071067811865475,45.00000000000001
sigma+,y,0.7071067811865475,0.0,0.7071067811865475,45.00000000000001
sigma+,sigma+,0.0,-0.9999999999999998,0.9999999999999998,1.2074182697257333e-06
sigma+,sigma-,0.0,0.0,0.0,90.0
sigma-,x,0.0,0.7071067811865475,0.7071067811865475,45.00000000000001
sigma-,y,0.7071067811865475,0.0,0.7071067811865475,45.00000000000001
sigma-,sigma+,0.0,0.0,0.0,90.0
sigma-,sigma-,0.0,0.9999999999999998,0.9999999999999998,1.2074182697257333e-06
