delta_over_gamma_e,Re_chi_full,Im_chi_full,Re_chi_cut,Im_chi_cut,Re_R_S,Im_R_S
-1.2,0.4380068879144121,-0.4956216713118849,0.40983606557377056,-0.49180327868852464,0.028170822340641555,-0.003818392623360256
-1.199,0.43846592235045057,-0.4956774463746031,0.41023941161822625,-0.4918770545302533,0.02822651073222432,-0.003800391844349771
-1.198,0.43892553015238284,-0.49573285599520134,0.4106432151064141,-0.49195057169748413,0.02828231504596873,-0.003782284297717209
-1.197,0.43938571188399983,-0.4957878987519264,0.411047476394571,-0.49202382924430155,0.02833823548942882,-0.0037640695076248676
-1.196,0.4398464681082659,-0.49584257321857506,0.41145219583807874,-0.4920968262223422,0.02839427227018715,-0.0037457469962328682
-1.195,0.4403077993873078,-0.4958968779644815,0.411857373791456,-0.4921695616807899,0.028450425595851814,-0.0037273162836916063
-1.194,0.44076970628240536,-0.49595081155450577,0.41226301060835185,-0.49224203466637206,0.028506695674053506,-0.0037087768881337024
-1.193,0.4412321893539798,-0.4960043725490193,0.41266910664153783,-0.4923142442233547,0.028563082712441956,-0.003690128325664621
-1.192,0.44169524916158526,-0.49605755950389485,0.4130756622429017,-0.49238618939353884,0.02861958691868355,-0.0036713701103560092
-1.191,0.442158886263896,-0.4961103709704923,0.4134826777634391,-0.49245786921625595,0.02867620850045688,-0.0036525017542363702
-1.19,0.44262310121869763,-0.49616280549564606,0.413890153553247,-0.4925292827283639,0.028732947665450648,-0.0036335227672821824
-1.189,0.44308789458287595,-0.49621486162165374,0.41429808996151585,-0.49260042896424233,0.028789804621360104,-0.003614432657411404
-1.188,0.4435532669124064,-0.49626653788626196,0.4147064873365227,-0.4926713069557889,0.028846779575883663,-0.0035952309304730368
-1.187,0.4440192187623424,-0.4963178328226547,0.41511534602562333,-0.49274191573241494,0.028903872736719072,-0.003575917090239744
-1.186,0.4444857506868064,-0.4963687449594404,0.4155246663752453,-0.4928122543210409,0.02896108431156108,-0.0035564906383994677
-1.185,0.44495286323897726,-0.496419272820639,0.41593444873088,-0.4928823217460928,0.02901841450809728,-0.003536951074546213
-1.184,0.4454205569710803,-0.49646941492566954,0.41634469343707536,-0.4929521170294972,0.02907586353400493,-0.0035172978961723333
-1.183,0.44588883243437605,-0.4965191697893367,0.41675540083742835,-0.4930216391906777,0.0291334315969477,-0.003497530598658982
-1.182,0.4463576901791496,-0.49656853592181904,0.4171665712745774,-0.4930908872465505,0.02919111890457221,-0.003477648675268563
-1.181,0.4468271307546988,-0.4966175118286557,0.41757820509019483,-0.4931598602115201,0.02924892566450399,-0.0034576516171356264
-1.18,0.44729715470932346,-0.4966660960107326,0.4179903026249791,-0.4932285570974753,0.02930685208434436,-0.0034375389132572653
-1.179,0.4477677625903146,-0.49671428696427156,0.4184028642186473,-0.4932969769137852,0.02936489837166728,-0.003417310050486344
-1.178,0.44823895494394217,-0.49676208318081555,0.41881589020992727,-0.4933651186672943,0.029423064734014903,-0.003396964513521228
-1.177,0.4487107323154444,-0.49680948314721673,0.41922938093655004,-0.49343298136231944,0.02948135137889435,-0.00337650178489729
-1.176,0.4491830952490168,-0.4968564853456234,0.419643336735242,-0.49350056400064457,0.029539758513774772,-0.0033559213449788072
-1.175,0.4496560442877988,-0.49690308825346624,0.42005775794171696,-0.49356786558151744,0.02959828634608186,-0.003335222671948801
-1.174,0.45012957997386527,-0.49694929034344676,0.42047264489066877,-0.4936348851016451,0.0296569350831965,-0.0033144052418016545
-1.173,0.4506037028482118,-0.4969950900835227,0.42088799791576265,-0.4937016215551896,0.029715704932449127,-0.003293468528333121
-1.172,0.4510784134507448,-0.49704048593689604,0.4213038173496283,-0.4937680739337643,0.02977459610111649,-0.0032724120031317194
-1.171,0.4515537123202694,-0.49708547636199923,0.421720103523851,-0.49383424122642955,0.029833608796418443,-0.0032512351355696856
-1.17,0.4520295999944777,-0.49713005981248276,0.4221368567689645,-0.49390012241968845,0.02989274322551322,-0.003229937392794313
-1.169,0.4525060770099364,-0.4971742347372014,0.4225540774144423,-0.49396571649748305,0.029951999595494105,-0.00320851823971835
-1.168,0.45298314390207584,-0.4972179995802011,0.42297176578869017,-0.49403102244119007,0.030011378113385667,-0.0031869771390110047
-1.167,0.45346080120517646,-0.4972613527807063,0.4233899222190374,-0.49409603922961665,0.030070878986139082,-0.003165313551089677
-1.166,0.4539390494523589,-0.4973042927731058,0.42380854703172977,-0.4941607658389969,0.030130502420629146,-0.003143526934108909
-1.165,0.4544178891755695,-0.4973468179869406,0.42422764055192014,-0.49422520124298697,0.030190248623649385,-0.0031216167439536147
-1.164,0.45489732090556984,-0.4973889268468897,0.4246472031036615,-0.4942893444126619,0.03025011780190834,-0.0030995824342277545
-1.163,0.4553773451719237,-0.49743061777275704,0.4250672350098977,-0.49435319431651104,0.030310110162026005,-0.003077423456246009
-1.162,0.45585796250298455,-0.4974718891794588,0.42548773659245603,-0.4944167499204339,0.030370225910528514,-0.003055139259024897
-1.161,0.4563391734258838,-0.4975127394770087,0.4259087081720382,-0.49448001018773635,0.03043046525384563,-0.00303272928927234
-1.16,0.4568209784665178,-0.4975531670705059,0.42633015006821284,-0.4945429740791269,0.03049082839830497,-0.0030101929913790015
-1.159,0.4573033781495353,-0.49759317036012124,0.42675206259940657,-0.4946056405527122,0.030551315550128744,-0.0029875298074090173
-1.158,0.45778637299832536,-0.4976327477410832,0.4271744460828958,-0.4946680085639933,0.030611926915429577,-0.0029647391770898923
-1.157,0.45826996353500343,-0.4976718976036649,0.4275973008347982,-0.49473007706586153,0.030672662700205244,-0.002941820537803397
-1.156,0.4587541502804001,-0.49771061833317093,0.42802062717006456,-0.49479184500859463,0.03073352311033556,-0.002918773324576296
-1.155,0.45923893375404695,-0.49774890830992297,0.4284444254024699,-0.4948533113398528,0.030794508351577043,-0.002895596970070191
-1.154,0.4597243144741653,-0.4977867659092472,0.42886869584460546,-0.4949144750046747,0.030855618629559822,-0.002872290904572472
-1.153,0.4602102929576508,-0.49782418950145974,0.42929343880786924,-0.4949753349454733,0.03091685414978157,-0.0028488545559864353
-1.152,0.4606968697200626,-0.49786117745185426,0.4297186546024587,-0.4950358901020324,0.030978215117603847,-0.002825287349821848
-1.151,0.46118404527560913,-0.49789772812068667,0.4301443435373608,-0.4950961394115023,0.031039701738248326,-0.002801588709184344
-1.15,0.4616718201371352,-0.49793383986316325,0.4305705059203445,-0.49515608180839615,0.031101314216790688,-0.002777758054767099
-1.149,0.4621601948161084,-0.49796951102942544,0.430997142057951,-0.49521571622458566,0.03116305275815745,-0.002753794804839782
-1.148,0.4626491698226064,-0.4980047399645375,0.43142425225548603,-0.4952750415892979,0.03122491756712037,-0.0027296983752395643
-1.147,0.4631387456653026,-0.49803952500847165,0.43185183681701017,-0.4953340568291107,0.03128690884829244,-0.002705468179360959
-1.146,0.4636289228514542,-0.4980738644960947,0.4322798960453306,-0.49539276086794887,0.03134902680612356,-0.002681103628145831
-1.145,0.4641197018868859,-0.49810775675715474,0.43270843024199224,-0.4954511526270811,0.03141127164489366,-0.0026566041300736254
-1.144,0.46461108327597994,-0.49814120011626617,0.43313743970726837,-0.495509231025115,0.03147364356871157,-0.002631969091151154
-1.143,0.46510306752165853,-0.4981741928928971,0.4335669247401525,-0.49556699497799434,0.031536142781506016,-0.00260719791490277
-1.142,0.4655956551253739,-0.49820673340135485,0.43399688563834865,-0.49562444339899414,0.031598769487025224,-0.00258229000236071
-1.141,0.4660888465870905,-0.49823881995077185,0.43442732269826284,-0.4956815751987179,0.03166152388882765,-0.002557244752053933
-1.14,0.4665826424052744,-0.4982704508450924,0.434858236214994,-0.4957383892850931,0.03172440619028044,-0.002532061559999299
-1.139,0.4670770430768773,-0.4983016243830579,0.4352896264823244,-0.4957948845633675,0.03178741659455292,-0.0025067398196904067
-1.138,0.46757204909732303,-0.49833233885819356,0.4357214937927116,-0.49585105993610573,0.03185055530461145,-0.002481278922087826
-1.137,0.46806766096049357,-0.4983625925587936,0.43615383843727823,-0.49590691430318534,0.03191382252321534,-0.0024556782556082735
