configuration,temperature_K,optical_width_MHz,ground_width_MHz,same_defect_inputs,evidence_status,classification,note,eta_assumed,target_contrast,required_control_MHz,required_control_GHz
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",1.0,0.1,9.314028238133037,0.009314028238133038
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",1.0,0.5,27.94208471439911,0.02794208471439911
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",1.0,0.9,83.82625414319733,0.08382625414319733
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",0.5,0.1,13.971042357199554,0.013971042357199554
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",0.5,0.5,inf,inf
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",0.5,0.9,inf,inf
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",0.2,0.1,27.94208471439911,0.02794208471439911
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",0.2,0.5,inf,inf
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",0.2,0.9,inf,inf
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",0.1,0.1,inf,inf
Mechanically decoupled emitter (Dietrich 2020),300,65.0,3.002923454564063,False,best-case cross-defect synthesis,Class 0; conditional go candidate,"Room-temperature near-FT optical line, but no verified spin Lambda in that emitter.",0.1,0.5,inf,inf
