T_K,Bx_T,C,klass,verdict,fwhm_MHz,gamma_h_GHz,sigma_zpl_cm2,spectral_fraction,alpha_percm,od_sector,optically_thin,L_for_od1_cm,d_od_m,dT_over_T_m,tau_trans_m_s,dPL_over_PL_m,tau_pl_m_s,detectable_trans_m,detectable_pl_m,d_od,dT_over_T,tau_trans_s,dPL_over_PL,tau_pl_s,detectable_trans,detectable_pl
10.0,0.23226114680059184,-27.369527626849397,absorption,robust ATS,71.99999999999999,0.03785171587893605,1.7807785395005486e-11,0.0012617238626312017,329.53811401124267,16.476905700562135,False,0.0030345503523937856,-27.369527626849397,-0.9999999999987012,2.1191992452334007e-10,0.5819767068685705,5.201973648780602e-10,True,True,-450.96512577652766,-1.0,0.0011161088024263025,6.98507069227381e-08,inf,True,False
20.0,0.23226114680059184,-1.5283330939901922,absorption,robust ATS,112.5,0.1752801570653571,3.845587797787505e-12,0.00584267190217857,329.53811401124267,16.476905700562135,False,0.0030345503523937856,-1.5283330939901922,-0.7831030870812187,3.4556831756961296e-10,0.455747755758731,8.482625151689909e-10,True,True,-25.182200268724763,-0.9999999999884253,0.0011161088024521399,6.98507069219296e-08,inf,True,False
30.0,0.23226114680059184,0.9922171859524048,transparency,robust EIT,11.250000000000004,1.1093509958424823,6.076122306925159e-13,0.03697836652808274,329.5381140112426,16.47690570056213,False,0.0030345503523937865,0.9922171859524048,1.697208059445544,7.357014631847461e-11,-0.9877355573081977,1.8059177934035747e-10,True,True,16.348669007414895,12593217.432855492,7.037738559995361e-18,-0.8796451401167084,1.4393429460936216e-10,True,True
40.0,0.23226114680059184,0.9250972996703776,transparency,robust EIT,2.9375000000000004,4.563840070373026,1.4769475328037088e-13,0.15212800234576754,329.53811401124267,16.476905700562135,False,0.0030345503523937856,0.9250972996703776,1.522113649246552,9.146977899402784e-11,-0.8858346890693612,2.2452979871702045e-10,True,True,15.242740970513482,4167140.93089083,6.42732345874853e-17,-0.29107773986940144,1.3145021808040416e-09,True,True
50.0,0.23226114680059184,0.5801224561261223,transparency,robust EIT,1.0,13.831007407501145,4.873507860600565e-14,0.46103358025003816,329.53811401124267,16.476905700562135,False,0.0030345503523937856,0.5801224561261223,0.7862571554892275,3.428013857896141e-10,-0.4575833501040646,8.414705600276882e-10,True,True,9.558623004368613,14165.325794194068,5.562287060245639e-12,-0.0009894580205153521,0.00011376158718662719,True,True
60.0,0.23226114680059184,0.13235223083541553,transparency,robust EIT,0.5000000000000004,34.100115876508774,1.976694846568438e-14,1.0,289.9152441633709,14.495762208168546,False,0.0034492839549909535,0.13235223083541553,0.1415103235988347,1.0582677048422122e-08,-0.08235571211606256,2.5977173875826794e-08,True,True,1.9185464659108162,5.811051175673543,4.558242713916393e-06,-2.943238000550328e-06,inf,True,False
70.0,0.23226114680059184,0.013871069386762093,transparency,robust EIT,0.3750000000000001,72.25969464371656,9.32823251645761e-15,1.0,136.81407690804494,6.840703845402247,False,0.007309189394831914,0.013871069386762093,0.013967719030667142,1.0862276799264262e-06,-0.008128887123943685,2.6663510728028652e-06,True,True,0.09488787769386484,0.09953556575117793,7.358692640837793e-06,-0.0001065523465453284,0.00984181635367245,True,True
80.0,0.23226114680059184,0.0012943264434896774,transparency,robust EIT,0.2750000000000002,136.0728950556691,4.9536333663588935e-15,1.0,72.65328937326376,3.6326644686631884,False,0.013764001721414112,0.0012943264434896774,0.0012951644454712102,0.00012633638204904117,-0.0007537555388295723,0.00031012546671777604,True,True,0.004701853682116144,0.00471292474083875,0.000132722001208027,-0.00012802186789286044,0.006990587853743342,True,True
90.0,0.23226114680059184,0.00014579834965927464,transparency,robust EIT,0.2156250000000002,233.11309417748393,2.8915374127015497e-15,1.0,42.40921538628939,2.1204607693144695,False,0.02357978073612966,0.00014579834965927464,0.00014580897875521827,0.009979625473206608,-8.485742928794152e-05,0.02455330948202576,True,True,0.00030915968068328555,0.000309207475462645,0.006798221717112858,-4.215520662822178e-05,0.07223298865124829,True,True
100.0,0.23226114680059184,2.0777754456207517e-05,unresolved,inconclusive,0.4500000000000005,369.9222601388049,1.8221537491468903e-15,1.0,26.72492165415439,1.3362460827077196,False,0.037418257495417204,2.0777754456207517e-05,2.077797031524266e-05,0.5210410456378927,-1.2092294739493542e-05,1.453423589158654,True,True,2.776419299957016e-05,2.7764578428343648e-05,0.39768335348871314,-9.899184150273492e-06,2.06978691289191,True,True
105.0,0.23226114680059184,-1.2491017856364563e-05,absorption,inconclusive,0.31250000000000017,454.8898863481077,1.4817986801513303e-15,1.0,21.733047308886178,1.086652365444309,False,0.046012875497267305,-1.2491017856364563e-05,-1.2490939843925838e-05,1.617418234594068,7.269436036070818e-06,6.327567777160911,True,True,-1.3573394100425654e-05,-1.3573301982328738e-05,1.4513334115683525,6.909875009338276e-06,7.388885303531574,True,True
110.0,0.23226114680059184,-7.93363732681923e-06,absorption,robust ATS,0.12187500000000012,551.5862632085033,1.2220304930799504e-15,1.0,17.92311389850594,0.896155694925297,True,0.0557938763131645,-7.93363732681923e-06,-7.933605855601841e-06,5.585350153562762,4.6171738094423644e-06,inf,True,False,-7.109774271900963e-06,-7.109748997515763e-06,7.476646565523311,4.902714577366006e-06,inf,True,False
120.0,0.23226114680059184,-3.394063926506815e-06,absorption,robust ATS,0.09375000000000011,781.6779603907946,8.623183297477457e-16,1.0,12.647335502966936,0.6323667751483468,True,0.07906803767207807,-3.394063926506815e-06,-3.3940581666783628e-06,inf,1.9752627947664173e-06,inf,False,False,-2.14629325985245e-06,-2.146290956566719e-06,inf,2.433271690589037e-06,inf,False,False
140.0,0.23226114680059184,-7.045937437290151e-07,unresolved,inconclusive,nan,1394.9863582629591,4.831984407676574e-16,1.0,7.086910464592308,0.35434552322961543,True,0.1411052115017129,-7.045937437290151e-07,-7.045934955029015e-07,inf,4.100570021943262e-07,inf,False,False,-2.496696387859714e-07,-2.4966960761850975e-07,inf,5.8711591209649e-07,inf,False,False
160.0,0.23226114680059184,-2.1055342915023282e-07,unresolved,inconclusive,nan,2216.3907112995016,3.041229282221664e-16,1.0,4.460469613925106,0.22302348069625533,True,0.22419164046720721,-2.1055342915023282e-07,-2.1055340698386112e-07,inf,1.2253717841658453e-07,inf,False,False,-4.695835864161731e-08,-4.6958357539073606e-08,inf,1.8794625749893506e-07,inf,False,False
200.0,0.23226114680059184,-2.9349600890935588e-08,unresolved,inconclusive,nan,4468.811107809587,1.5083547210730206e-16,1.0,2.2122535909070966,0.11061267954535484,True,0.4520277440661616,-2.9349600890935588e-08,-2.9349600460236056e-08,inf,1.708078382377865e-08,inf,False,False,-3.246437998133119e-09,-3.2464379928634393e-09,inf,2.7756300513513205e-08,inf,False,False
250.0,0.23226114680059184,-4.61747006500818e-09,unresolved,inconclusive,nan,8356.502505670325,8.066236236361238e-17,1.0,1.1830479813329815,0.059152399066649076,True,0.8452742541120479,-4.61747006500818e-09,-4.617470054347665e-09,inf,2.6872600162969835e-09,inf,False,False,-2.731344319636699e-10,-2.731344319263687e-10,inf,4.482249149647434e-09,inf,False,False
300.0,0.23226114680059184,-1.1074611352654538e-09,unresolved,inconclusive,nan,13349.549074059234,5.049273420887562e-17,1.0,0.7405601017301757,0.03702800508650879,True,1.3503292948994863,-1.1074611352654538e-09,-1.1074611346522187e-09,inf,6.44516584130666e-10,inf,False,False,-4.100707654972002e-11,-4.100707654887923e-11,inf,1.0870841282635272e-09,inf,False,False
