T_K,Bx_T,toggle,Cmax,fwhm_MHz
25.0,0.23226114680059184,base,0.9979056048492843,10.0
25.0,0.23226114680059184,isc,0.9977358536927301,10.0
25.0,0.23226114680059184,hyperfine,0.9978733471341463,10.0
40.0,0.23226114680059184,base,0.9250510393543417,2.916666666666667
40.0,0.23226114680059184,isc,0.9243025733329051,2.916666666666667
40.0,0.23226114680059184,hyperfine,0.9223198721189021,2.916666666666667
70.0,0.23226114680059184,base,0.013618343413805798,0.33333333333333304
70.0,0.23226114680059184,isc,0.013643718279451536,0.33333333333333304
70.0,0.23226114680059184,hyperfine,0.011943872974021852,0.41666666666666585
90.0,0.23226114680059184,base,0.00013137498780620648,0.16666666666666652
90.0,0.23226114680059184,isc,0.00013266016546287365,0.16666666666666652
90.0,0.23226114680059184,hyperfine,9.555312725689062e-05,0.33333333333333304
105.0,0.23226114680059184,base,-1.0810141949833662e-05,0.33333333333333304
105.0,0.23226114680059184,isc,-1.0852722464716262e-05,0.33333333333333304
105.0,0.23226114680059184,hyperfine,-7.538752516819473e-06,0.49999999999999956
